id|nome|gbnord|gbest|tipologia|descrizione_categoria_bene|macroiteramm|descrizione_sottocategoria_bene|prov|comune|indirizzo|link_scheda_rt|desitergiu|destipodest|descrizioneentedest|colonna|dataprovvdest|annoprovvdest|ufficio_giudiziario|distretto|procedura|numero_decreto|fonte|
A-PT-59394-S|Agliana - A-PT-59394-S - aziende - Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa - Indirizzo imprecisato|4863122.5|1660922.21|Aziende in gestione|Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa|In gestione|Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa|Pistoia|Agliana|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Prato|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-15621|Altopascio - I-LU-15621 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15632|Altopascio - I-LU-15632 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15640|Altopascio - I-LU-15640 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15648|Altopascio - I-LU-15648 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15656|Altopascio - I-LU-15656 - immobili - Box, garage, autorimessa, posto auto - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Terreno|Destinato|Box, garage, autorimessa, posto auto|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
A-AR-43917-S|Anghiari - A-AR-43917-S - aziende - Alberghi e ristoranti - Indirizzo imprecisato|4825395.3200000003|1747021.9399999999|Aziende in gestione|Alberghi e ristoranti|In gestione|Alberghi e ristoranti|Arezzo|Anghiari|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Reggio Calabria|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8014-S|Arezzo - I-AR-8014-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8015-S|Arezzo - I-AR-8015-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8016-S|Arezzo - I-AR-8016-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8017-S|Arezzo - I-AR-8017-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8018-S|Arezzo - I-AR-8018-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8019-S|Arezzo - I-AR-8019-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8020-S|Arezzo - I-AR-8020-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8021-S|Arezzo - I-AR-8021-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8022-S|Arezzo - I-AR-8022-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8023-S|Arezzo - I-AR-8023-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8024-S|Arezzo - I-AR-8024-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8025-S|Arezzo - I-AR-8025-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8026-S|Arezzo - I-AR-8026-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8027-S|Arezzo - I-AR-8027-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8028-S|Arezzo - I-AR-8028-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8029-S|Arezzo - I-AR-8029-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8030-S|Arezzo - I-AR-8030-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8031-S|Arezzo - I-AR-8031-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8032-S|Arezzo - I-AR-8032-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8033-S|Arezzo - I-AR-8033-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8034-S|Arezzo - I-AR-8034-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
A-MS-265465|Aulla - A-MS-265465 - aziende - Società a responsabilità limitata - VIA CERRI 11|4895571.1399999997|1577377.8700000001|Aziende destinate||Destinato|Società a responsabilità limitata|Massa-Carrara|Aulla|VIA CERRI 11||Confisca definitiva|Commercio ingrosso-dettaglio|||2013|3628|Tribunale|LA SPEZIA|1/2010||ANBSC-OR-2018-01-03|
I-FI-8221-S|Bagno a Ripoli - I-FI-8221-S - Abitazione indipendente - Indirizzo imprecisato|4846884.46|1686778.0600000001|Immobili in gestione|Abitazione indipendente|In gestione|Abitazione indipendente|Firenze|Bagno a Ripoli|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Firenze|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-FI-8222-S|Bagno a Ripoli - I-FI-8222-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4846884.46|1686778.0600000001|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Firenze|Bagno a Ripoli|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Firenze|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-PT-158915|Buggiano - I-PT-158915 - immobili - Appartamento in condominio - VIA SIENA 6 LOC. PITTINI|4858360|1639965|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Pistoia|Buggiano|VIA SIENA 6 – LOC. PITTINI|http://www.regione.toscana.it/-/buggiano-loc-pittini-via-siena-6|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni|Scopi sociali|2010|14/04/2010|Procura della Repubblica|PISTOIA|1/2004|191|ANBSC-OR-2018-01-03|
I-PT-158920|Buggiano - I-PT-158920 - immobili - Appartamento in condominio - VIA SIENA 6 LOC. PITTINI|4858360|1639965|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Pistoia|Buggiano|VIA SIENA 6 – LOC. PITTINI|http://www.regione.toscana.it/-/buggiano-loc-pittini-via-siena-6|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni|Scopi sociali|2010|14/04/2010|Procura della Repubblica|PISTOIA|1/2004|191|ANBSC-OR-2018-01-03|
I-LU-12670-S|Camaiore - I-LU-12670-S - Magazzino, Locale di deposito - Indirizzo imprecisato|4865888.5599999996|1604702.3400000001|Immobili in gestione|Magazzino, Locale di deposito|In gestione|Magazzino, Locale di deposito|Lucca|Camaiore|Indirizzo imprecisato||Confisca I||||||Tribunale|Bari|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-12671-S|Camaiore - I-LU-12671-S - Magazzino, Locale di deposito - Indirizzo imprecisato|4865888.5599999996|1604702.3400000001|Immobili in gestione|Magazzino, Locale di deposito|In gestione|Magazzino, Locale di deposito|Lucca|Camaiore|Indirizzo imprecisato||Confisca I||||||Tribunale|Bari|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-8665-S|Camaiore - I-LU-8665-S - Appartamento in condominio - Indirizzo imprecisato|4865888.5599999996|1604702.3400000001|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Lucca|Camaiore|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Prato|Misure di Prevenzione||ANBSC-OR-2018-01-03|
A-FI-211667|Campi Bisenzio - A-FI-211667 - aziende - Società a responsabilità limitata - VIA PALAGIETTA 216/218|4854195.7000000002|1671939.7|Aziende destinate||Destinato|Società a responsabilità limitata|Firenze|Campi Bisenzio|VIA PALAGIETTA 216/218||Confisca definitiva|Commercio ingrosso-dettaglio|||2000|115|Corte d'Appello|FIRENZE|1/2003||ANBSC-OR-2018-01-03|
I-FI-276789|Campi Bisenzio - I-FI-276789 - immobili - Appartamento in condominio - VIA DELLE VIOLE 12|4853636|1672964|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Firenze|Campi Bisenzio|VIA DELLE VIOLE, 12|http://www.regione.toscana.it/-/campi-bisenzio-via-delle-viole-12|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni|Scopi sociali|2016|10/03/2016|Procura della Repubblica|FIRENZE|5970/2007|10709|ANBSC-OR-2018-01-03|
I-FI-276790|Campi Bisenzio - I-FI-276790 - immobili - Appartamento in condominio - VIA DELLE VIOLE 12|4853636|1672964|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Firenze|Campi Bisenzio|VIA DELLE VIOLE, 12|http://www.regione.toscana.it/-/campi-bisenzio-via-delle-viole-12|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni|Scopi sociali|2016|10/03/2016|Procura della Repubblica|FIRENZE|5970/2007|10709|ANBSC-OR-2018-01-03|
I-FI-30201-S|Campi Bisenzio - I-FI-30201-S - Appartamento in condominio - Indirizzo imprecisato|4854195.7000000002|1671939.7|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Firenze|Campi Bisenzio|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Firenze|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-FI-30202-S|Campi Bisenzio - I-FI-30202-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4854195.7000000002|1671939.7|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Firenze|Campi Bisenzio|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Firenze|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LI-40544-S|Campiglia Marittima - I-LI-40544-S - Unità uso abit. e assimil. - non definito - Indirizzo imprecisato|4768651.3799999999|1631702.79|Immobili in gestione|Unità uso abit. e assimil. - non definito|In gestione|Unità uso abit. e assimil. - non definito|Livorno|Campiglia Marittima|Indirizzo imprecisato||Confisca I||||||Tribunale|Livorno|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LI-40545-S|Campiglia Marittima - I-LI-40545-S - Unità uso abit. e assimil. - non definito - Indirizzo imprecisato|4768651.3799999999|1631702.79|Immobili in gestione|Unità uso abit. e assimil. - non definito|In gestione|Unità uso abit. e assimil. - non definito|Livorno|Campiglia Marittima|Indirizzo imprecisato||Confisca I||||||Tribunale|Livorno|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LI-40546-S|Campiglia Marittima - I-LI-40546-S - Altro - Indirizzo imprecisato|4768651.3799999999|1631702.79|Immobili in gestione|Altro|In gestione|Altro|Livorno|Campiglia Marittima|Indirizzo imprecisato||Confisca I||||||Tribunale|Livorno|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LI-40916-S|Campiglia Marittima - I-LI-40916-S - Unità uso abit. e assimil. - non definito - Indirizzo imprecisato|4768651.3799999999|1631702.79|Immobili in gestione|Unità uso abit. e assimil. - non definito|In gestione|Unità uso abit. e assimil. - non definito|Livorno|Campiglia Marittima|Indirizzo imprecisato||Confisca I||||||Tribunale|Livorno|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LI-40917-S|Campiglia Marittima - I-LI-40917-S - Altra unità immobil. - non definito - Indirizzo imprecisato|4768651.3799999999|1631702.79|Immobili in gestione|Altra unità immobil. - non definito|In gestione|Altra unità immobil. - non definito|Livorno|Campiglia Marittima|Indirizzo imprecisato||Confisca I||||||Tribunale|Livorno|Misure di Prevenzione||ANBSC-OR-2018-01-03|
A-LU-36202-S|Camporgiano - A-LU-36202-S - aziende - Agricoltura, caccia e silvicoltura - Indirizzo imprecisato|4890390.0800000001|1606630.79|Aziende in gestione|Agricoltura, caccia e silvicoltura|In gestione|Agricoltura, caccia e silvicoltura|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
A-LU-59077-S|Camporgiano - A-LU-59077-S - aziende - Alberghi e ristoranti - Indirizzo imprecisato|4890390.0800000001|1606630.79|Aziende in gestione|Alberghi e ristoranti|In gestione|Alberghi e ristoranti|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59078-S|Camporgiano - I-LU-59078-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59079-S|Camporgiano - I-LU-59079-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59080-S|Camporgiano - I-LU-59080-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59081-S|Camporgiano - I-LU-59081-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59082-S|Camporgiano - I-LU-59082-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59083-S|Camporgiano - I-LU-59083-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59084-S|Camporgiano - I-LU-59084-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59085-S|Camporgiano - I-LU-59085-S - Fabbricato industriale - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Fabbricato industriale|In gestione|Fabbricato industriale|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59086-S|Camporgiano - I-LU-59086-S - Altro - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Altro|In gestione|Altro|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59087-S|Camporgiano - I-LU-59087-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59088-S|Camporgiano - I-LU-59088-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59089-S|Camporgiano - I-LU-59089-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59090-S|Camporgiano - I-LU-59090-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59091-S|Camporgiano - I-LU-59091-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59092-S|Camporgiano - I-LU-59092-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59093-S|Camporgiano - I-LU-59093-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59094-S|Camporgiano - I-LU-59094-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59095-S|Camporgiano - I-LU-59095-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59096-S|Camporgiano - I-LU-59096-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59097-S|Camporgiano - I-LU-59097-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59098-S|Camporgiano - I-LU-59098-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59099-S|Camporgiano - I-LU-59099-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59100-S|Camporgiano - I-LU-59100-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-59101-S|Camporgiano - I-LU-59101-S - Terreno agricolo - Indirizzo imprecisato|4890390.0800000001|1606630.79|Immobili in gestione|Terreno agricolo|In gestione|Terreno agricolo|Lucca|Camporgiano|Indirizzo imprecisato||Confisca I||||||Tribunale|Lucca|Misure di Prevenzione||ANBSC-OR-2018-01-03|
